2	10
3	11
4	8
28	30
29	32
7	32
8	27
9	28
9	33
26	6
26	11
27	6
27	10
29	6
23	11
24	6
24	9
24	12
10	7
11	6
11	8
10	25
10	33
11	27
29	35
29	25
29	28
30	25
11	10
11	12
12	6
12	12
25	32
26	28
26	30
26	31
27	32
27	35
12	26
12	28
13	30
13	33
14	26
27	12
28	9
28	11
28	12
7	7
8	10
9	7
9	8
9	9
9	10
9	11
10	6
22	26
22	28
23	28
25	8
25	10
25	11
25	12
4	28
4	29
5	26
5	31
5	34
23	33
23	35
24	26
25	29
4	10
4	11
5	9
5	10
6	8
14	32
29	7
29	10
7	27
9	35
19	28
20	29
21	27
21	31
2	30
3	31
3	35
3	22
27	25
28	26
30	27
31	26
20	10
21	7
22	7
22	9
22	11
23	6
23	8
23	10
