1035	825
1125	855
1095	975
1185	1020
1140	1050
1185	1110
1215	1170
1245	1230
1275	1320
1350	1380
1365	1320
1410	1335
1380	1230
1455	1185
1485	1095
1515	1020
1485	900
1530	810
1560	900
1350	1485
1410	1530
1350	1560
1350	1635
1290	1665
1245	1770
1320	1785
1245	1875
1290	1980
1230	2040
1200	2145
1140	2145
1125	2205
1185	2265
1515	1635
1545	1710
1515	1755
1605	1755
1680	1815
1770	1845
1620	1275
1665	1185
1740	1155
1710	1020
1695	945
1860	855
1935	885
1950	795
2025	795
2100	765
2160	810
2175	735
2265	780
2370	765
2385	855
2550	810
2505	885
2655	1005
2715	1005
2790	1005
2790	1080
2790	1230
2850	1140
2925	1125
2910	1230
2910	1335
2880	1455
2805	1425
2760	1545
2805	1590
2745	1620
2700	1605
2685	1665
2625	1710
2535	1800
2490	1710
2385	1815
2280	1755
2190	1755
2175	1815
2100	1755
1980	1710
1965	1800
1830	1740
1815	1635
1740	1605
1710	1515
1635	1455
1725	1335
1725	1395
