53	153
55	139
57	153
59	147
61	154
78	98
83	100
29	75
30	60
31	77
32	55
58	18
62	20
100	124
100	130
102	120
110	118
110	122
40	140
40	142
40	150
43	148
46	140
46	146
33	61
35	62
39	75
46	155
48	138
50	150
67	30
69	22
69	24
71	20
10	77
12	56
15	48
75	100
75	33
78	28
79	18
80	22
5	52
7	60
98	127
98	122
36	157
37	137
38	155
18	75
20	60
21	63
23	75
25	57
28	55
112	118
115	125
117	120
15	70
15	85
71	25
72	9
118	118
59	128
62	135
64	138
64	26
67	23
85	120
88	135
96	125
30	145
35	150
35	140
83	25
