1155	1080
1290	900
1380	750
1515	630
1650	555
1815	510
2055	435
2355	435
2625	510
2790	645
3015	750
3120	975
3180	1125
1245	1110
1335	1020
1425	870
1515	765
1605	675
1710	630
1905	570
2070	525
2160	510
2310	525
2430	540
2595	585
2730	675
2835	795
2925	900
3015	1035
3090	1200
3090	1230
2430	1725
2520	1920
2670	2145
2940	2310
3195	2355
3420	2370
3615	2355
3795	2280
3930	2175
4080	2055
4140	1890
4230	1710
4260	1605
2595	1635
2685	1785
2865	1965
3165	2070
3480	2130
3690	2025
3810	1935
3975	1770
4065	1650
4050	1905
3960	2055
3870	2160
3555	2295
3450	2280
3150	2250
3075	2205
2790	2085
2670	1890
2565	1755
